year	exporter	importer	product	value	quantity
2012	AFG	DEU	854810	0.742	96.38
2012	AFG	POL	850720	3.495	1.008
2012	AFG	IND	780200	41.544	22.0
2012	ALB	AUT	780191	169.031	78.375
2012	ALB	AUT	780199	170.344	78.375
2012	ALB	BIH	854810	1.392	19.02
2012	ALB	CAN	850720	0.024	0.005
2012	ALB	CZE	780191	171.354	72.645
2012	ALB	DEU	854810	0.248	0.285
2012	ALB	GRC	780110	47.956	24.067
2012	ALB	GRC	780199	47.615	24.067
2012	ALB	GRC	854810	6.928	50.21
2012	ALB	ITA	780110	271.752	116.289
2012	ALB	ITA	780191	3946.787	1803.725
2012	ALB	ITA	780199	163.525	133.432
2012	ALB	ITA	780200	83.55	41.708
2012	ALB	ITA	850710	233.424	52.419
2012	ALB	ITA	850720	63.051	20.845
2012	ALB	NLD	850720	1.179	0.01
2012	ALB	KNA	850710	11.215	2.086
2012	ALB	SEN	850710	0.039	0.035
2012	ALB	SRB	780110	212.977	82.287
2012	ALB	SRB	780199	160.943	73.145
2012	ALB	SRB	850710	2.755	0.09
2012	ALB	MKD	854810	292.244	329.221
2012	DZA	KOR	850720	0.27	0.005
2012	DZA	IND	780200	320.242	195.0
2012	DZA	ESP	260700	560.958	473.04
2012	DZA	USA	850710	5.074	1.025
2012	ASM	SGP	850720	0.189	0.045
2012	AND	SLV	850710	1.937	0.033
2012	AND	FRA	850720	0.751	0.107
2012	AND	GMB	850710	0.172	4.107
2012	AND	MLI	850710	2.711	0.179
2012	AND	NPL	850720	0.042	0.01
2012	AND	ESP	780200	0.12	0.47
2012	AND	ESP	854810	192.622	229.54
2012	AGO	KOR	780191	49.434	25.001
2012	AGO	PAK	854810	21.698	25.015
2012	AGO	PRT	850710	0.714	0.09
2012	AGO	IND	780199	1008.054	530.0
2012	AGO	ZAF	850720	8.998	2.147
2012	AGO	ARE	780199	734.151	404.67
2012	ATG	BHS	850710	76.338	23.853
2012	ATG	DMA	850710	0.056	0.001
2012	ATG	DMA	850720	0.296	0.004
2012	ATG	PRK	850710	2.963	13.84
2012	ATG	MSR	850720	0.572	0.045
2012	ATG	NGA	850710	165.084	17.26
2012	ATG	NGA	850720	115.907	43.932
2012	ATG	USA	780200	52.615	50.468
2012	ATG	USA	850710	4.815	42.0
2012	ATG	USA	850720	2.307	2.715
2012	AZE	CHN	780191	399.842	192.0
2012	AZE	FRA	850710	0.064	0.002
